Season,Club,Expenditure,Income,Net Balance
2021,Arsenal FC,167400000.0,31400000.0,-136000000.0
2021,Manchester United,142000000.0,31100000.0,-110900000.0
2021,Manchester City,138900000.0,93800000.0,-45100000.0
2021,Newcastle United,130500000.0,0.0,-130500000.0
2021,Aston Villa,129800000.00000001,127000000.0,-2800000.0
2021,Chelsea FC,118000000.0,157590000.0,39590000.0
2021,Tottenham Hotspur,95900000.0,34620000.0,-61280000.0
2021,Liverpool FC,89000000.0,31650000.0,-57350000.0
2021,Crystal Palace,85620000.0,0.0,-85620000.0
2021,Brighton & Hove Albion,75580000.0,78800000.0,3220000.0
2021,West Ham United,74500000.0,4240000.0,-70270000.0
2021,Leicester City,67600000.0,4000000.0,-63600000.0
2021,Norwich City,63550000.0,38400000.0,-25150000.0
2021,Southampton FC,63400000.0,60350000.0,-3050000.0
2021,Leeds United,59300000.0,0.0,-59300000.0
2021,Burnley FC,49400000.0,40500000.0,-8900000.0
2021,Watford FC,43500000.0,12850000.0,-30650000.0
2021,Everton FC,39500000.0,46000000.0,6500000.0
2021,Brentford FC,38200000.0,1000000.0,-37200000.0
2021,Wolverhampton Wanderers,37600000.0,31800000.0,-5800000.0
2022,Chelsea FC,630250000.0,67860000.0,-562390000.0
2022,Manchester United,243150000.0,23650000.0,-219500000.0
2022,Nottingham Forest,198350000.0,5000000.0,-193350000.0
2022,West Ham United,196600000.0,21550000.0,-175050000.0
2022,Newcastle United,189100000.0,14060000.0,-175040000.0
2022,Arsenal FC,186400000.0,23800000.0,-162600000.0
2022,Tottenham Hotspur,179900000.0,38750000.0,-141150000.0
2022,Wolverhampton Wanderers,179510000.0,64870000.00000001,-114640000.0
2022,Leeds United,163890000.0,114500000.0,-49390000.0
2022,Manchester City,155000000.0,162170000.0,7170000.0
2022,Southampton FC,154210000.0,5500000.0,-148710000.0
2022,Liverpool FC,140900000.0,80100000.0,-60800000.0
2022,Aston Villa,113000000.0,54000000.0,-59000000.0
2022,AFC Bournemouth,93400000.0,0.0,-93400000.0
2022,Everton FC,83070000.0,103600000.0,20530000.0
2022,Fulham FC,76100000.0,25400000.0,-50700000.0
2022,Brighton & Hove Albion,55700000.0,138400000.0,82700000.0
2022,Brentford FC,49250000.0,3600000.0,-45650000.0
2022,Leicester City,49000000.0,81400000.0,32400000.0
2022,Crystal Palace,46600000.0,5460000.0,-41150000.0
2023,Chelsea FC,464100000.0,282200000.0,-181900000.0
2023,Tottenham Hotspur,272100000.0,120700000.0,-151400000.0
2023,Manchester City,259600000.00000003,138800000.0,-120800000.0
2023,Arsenal FC,235100000.0,69200000.0,-165900000.0
2023,Manchester United,210700000.0,63770000.0,-146930000.0
2023,Liverpool FC,172000000.0,60700000.0,-111300000.0
2023,Newcastle United,150000000.0,44600000.0,-105400000.0
2023,West Ham United,144560000.0,172860000.0,28300000.0
2023,Nottingham Forest,131630000.0,82820000.0,-48810000.0
2023,AFC Bournemouth,129889999.99999999,1500000.0,-128389999.99999999
2023,Aston Villa,111500000.0,33159999.999999996,-78340000.0
2023,Burnley FC,111050000.0,3800000.0,-107250000.0
2023,Brighton & Hove Albion,106850000.0,189000000.0,82150000.0
2023,Wolverhampton Wanderers,94000000.0,169200000.0,75200000.0
2023,Fulham FC,73170000.0,53200000.0,-19970000.0
2023,Brentford FC,72350000.0,10250000.0,-62100000.0
2023,Crystal Palace,67800000.0,0.0,-67800000.0
2023,Sheffield United,66950000.0,30900000.0,-36050000.0
2023,Everton FC,40500000.0,82800000.0,42300000.0
2023,Luton Town,25900000.0,300000.0,-25600000.0
